"source","time","user","text"
"#HandOfGod","2016-03-04 07:48:32","rouge2507","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…"
"#HandOfGod","2016-03-04 07:46:10","edrybicki","#HandofGod hysteria rules. Sigh…. https://t.co/0MWc3Y5xGG"
"#HandOfGod","2016-03-04 07:41:16","pimientoc","RT @SFriedScientist: People are freaking out about the #HandOfGod as if there weren't millions of publications with equally tenuous introdu…"
"#HandOfGod","2016-03-04 07:31:39","shyakaa","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/SdhGdkPBMs #HandOfGod https:/…"
"#HandOfGod","2016-03-04 07:28:41","MancImmunoGroup","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/SdhGdkPBMs #HandOfGod https:/…"
"#HandOfGod","2016-03-04 07:27:04","BioMickWatson","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/SdhGdkPBMs #HandOfGod https:/…"
"#HandOfGod","2016-03-04 07:18:22","s_lump","RT @SFriedScientist: It took @PLOSONE one day to review and retract #HandofGod paper. It took the Lancet 12 years to retract Wakefield's an…"
"#HandOfGod","2016-03-04 07:13:35","zhangschmidt","This also needs saying re #HandofGod... https://t.co/Acqo23xHHU"
"#HandOfGod","2016-03-04 07:12:15","UusitaloLaura","Oops. I've seen some review process fails myself, but this is epic. The paper's been retracted since. #handofgod  https://t.co/l32QOje6Fc"
"#HandOfGod","2016-03-04 07:11:26","avidooo","Now lets mess with one last sacred territory. Science. #handofgod"
"#HandOfGod","2016-03-04 07:10:33","zhangschmidt","Can't believe #HandofGod. Replace ""Creator"" with ""nature""... and it's still a Fail in Evo101, for teleology https://t.co/eUiuQC4wrH"
"#HandOfGod","2016-03-04 07:08:48","aglernino","RT @iddux: It took @plosone 2 days to retract #handofgod, and people are still upset over ""quality"". 
 #arseniclife to be retracted in...?"
