"","source","hour","mean"
"1","#HandOfGod","2016-02-23 18:00:00",0
"2","#HandOfGod","2016-02-23 19:00:00",-0.333333333333333
"3","#HandOfGod","2016-02-23 20:00:00",0
"4","#HandOfGod","2016-02-23 21:00:00",0
"5","#HandOfGod","2016-02-23 22:00:00",1.16666666666667
"6","#HandOfGod","2016-02-23 23:00:00",0
"7","#HandOfGod","2016-02-24 00:00:00",0
"8","#HandOfGod","2016-02-24 04:00:00",2
"9","#HandOfGod","2016-02-24 07:00:00",0
"10","#HandOfGod","2016-02-24 09:00:00",1
"11","#HandOfGod","2016-02-24 10:00:00",0
"12","#HandOfGod","2016-02-24 16:00:00",0
"13","#HandOfGod","2016-02-24 19:00:00",0.333333333333333
"14","#HandOfGod","2016-02-24 20:00:00",0
"15","#HandOfGod","2016-02-24 21:00:00",1
"16","#HandOfGod","2016-02-24 22:00:00",0
"17","#HandOfGod","2016-02-24 23:00:00",0.333333333333333
"18","#HandOfGod","2016-02-25 03:00:00",1
"19","#HandOfGod","2016-02-25 04:00:00",1
"20","#HandOfGod","2016-02-25 05:00:00",1.5
"21","#HandOfGod","2016-02-25 06:00:00",1
"22","#HandOfGod","2016-02-25 07:00:00",3
"23","#HandOfGod","2016-02-25 08:00:00",2
"24","#HandOfGod","2016-02-25 09:00:00",-0.5
"25","#HandOfGod","2016-02-25 10:00:00",3
"26","#HandOfGod","2016-02-25 11:00:00",1.14285714285714
"27","#HandOfGod","2016-02-25 12:00:00",-1
"28","#HandOfGod","2016-02-25 15:00:00",0
"29","#HandOfGod","2016-02-25 16:00:00",1.5
"30","#HandOfGod","2016-02-25 18:00:00",0
"31","#HandOfGod","2016-02-25 19:00:00",0
"32","#HandOfGod","2016-02-25 20:00:00",1
"33","#HandOfGod","2016-02-25 23:00:00",0.5
"34","#HandOfGod","2016-02-26 00:00:00",1
"35","#HandOfGod","2016-02-26 03:00:00",0
"36","#HandOfGod","2016-02-26 05:00:00",0
"37","#HandOfGod","2016-02-26 08:00:00",-1
"38","#HandOfGod","2016-02-26 12:00:00",0
"39","#HandOfGod","2016-02-26 15:00:00",0
"40","#HandOfGod","2016-02-26 16:00:00",0
"41","#HandOfGod","2016-02-26 17:00:00",0
"42","#HandOfGod","2016-02-26 18:00:00",0
"43","#HandOfGod","2016-02-26 19:00:00",-1
"44","#HandOfGod","2016-02-26 20:00:00",0
"45","#HandOfGod","2016-02-26 22:00:00",1
"46","#HandOfGod","2016-02-27 01:00:00",0.5
"47","#HandOfGod","2016-02-27 02:00:00",1.5
"48","#HandOfGod","2016-02-27 03:00:00",2
"49","#HandOfGod","2016-02-27 04:00:00",-1
"50","#HandOfGod","2016-02-27 05:00:00",2
"51","#HandOfGod","2016-02-27 07:00:00",1
"52","#HandOfGod","2016-02-27 09:00:00",0.333333333333333
"53","#HandOfGod","2016-02-27 12:00:00",0
"54","#HandOfGod","2016-02-27 13:00:00",0
"55","#HandOfGod","2016-02-27 14:00:00",0
"56","#HandOfGod","2016-02-27 15:00:00",0
"57","#HandOfGod","2016-02-27 17:00:00",0
"58","#HandOfGod","2016-02-27 18:00:00",0.916666666666667
"59","#HandOfGod","2016-02-27 19:00:00",0.888888888888889
"60","#HandOfGod","2016-02-27 20:00:00",0.75
"61","#HandOfGod","2016-02-27 21:00:00",0.4
"62","#HandOfGod","2016-02-27 22:00:00",0.333333333333333
"63","#HandOfGod","2016-02-27 23:00:00",0.454545454545455
"64","#HandOfGod","2016-02-28 01:00:00",0
"65","#HandOfGod","2016-02-28 03:00:00",0.666666666666667
"66","#HandOfGod","2016-02-28 04:00:00",1
"67","#HandOfGod","2016-02-28 07:00:00",-0.5
"68","#HandOfGod","2016-02-28 08:00:00",0.5
"69","#HandOfGod","2016-02-28 09:00:00",3
"70","#HandOfGod","2016-02-28 13:00:00",0
"71","#HandOfGod","2016-02-28 15:00:00",0.333333333333333
"72","#HandOfGod","2016-02-28 16:00:00",0
"73","#HandOfGod","2016-02-28 17:00:00",0
"74","#HandOfGod","2016-02-28 18:00:00",0.666666666666667
"75","#HandOfGod","2016-02-28 19:00:00",0
"76","#HandOfGod","2016-02-28 20:00:00",0.666666666666667
"77","#HandOfGod","2016-02-28 21:00:00",1
"78","#HandOfGod","2016-02-28 22:00:00",-0.25
"79","#HandOfGod","2016-02-28 23:00:00",1
"80","#HandOfGod","2016-02-29 00:00:00",-0.166666666666667
"81","#HandOfGod","2016-02-29 02:00:00",1
"82","#HandOfGod","2016-02-29 05:00:00",1
"83","#HandOfGod","2016-02-29 06:00:00",0
"84","#HandOfGod","2016-02-29 07:00:00",-1
"85","#HandOfGod","2016-02-29 08:00:00",1
"86","#HandOfGod","2016-02-29 09:00:00",0
"87","#HandOfGod","2016-02-29 11:00:00",-1
"88","#HandOfGod","2016-02-29 14:00:00",2
"89","#HandOfGod","2016-02-29 15:00:00",1
"90","#HandOfGod","2016-02-29 16:00:00",0
"91","#HandOfGod","2016-03-01 02:00:00",0
"92","#HandOfGod","2016-03-01 04:00:00",0
"93","#HandOfGod","2016-03-01 05:00:00",0.5
"94","#HandOfGod","2016-03-01 14:00:00",0
"95","#HandOfGod","2016-03-01 15:00:00",0
"96","#HandOfGod","2016-03-01 16:00:00",2
"97","#HandOfGod","2016-03-01 18:00:00",0
"98","#HandOfGod","2016-03-01 20:00:00",0
"99","#HandOfGod","2016-03-01 21:00:00",0
"100","#HandOfGod","2016-03-01 23:00:00",0
"101","#HandOfGod","2016-03-02 02:00:00",0
"102","#HandOfGod","2016-03-02 13:00:00",0
"103","#HandOfGod","2016-03-02 16:00:00",0
"104","#HandOfGod","2016-03-02 18:00:00",0.5
"105","#HandOfGod","2016-03-02 19:00:00",-0.6
"106","#HandOfGod","2016-03-02 20:00:00",-1.18181818181818
"107","#HandOfGod","2016-03-02 21:00:00",0.25
"108","#HandOfGod","2016-03-02 22:00:00",0.133333333333333
"109","#HandOfGod","2016-03-02 23:00:00",-0.272727272727273
"110","#HandOfGod","2016-03-03 00:00:00",0.461538461538462
"111","#HandOfGod","2016-03-03 01:00:00",0.0769230769230769
"112","#HandOfGod","2016-03-03 02:00:00",-0.307692307692308
"113","#HandOfGod","2016-03-03 03:00:00",0
"114","#HandOfGod","2016-03-03 04:00:00",0.25
"115","#HandOfGod","2016-03-03 05:00:00",0
"116","#HandOfGod","2016-03-03 06:00:00",-0.166666666666667
"117","#HandOfGod","2016-03-03 07:00:00",-1
"118","#HandOfGod","2016-03-03 08:00:00",-0.142857142857143
"119","#HandOfGod","2016-03-03 09:00:00",0.0666666666666667
"120","#HandOfGod","2016-03-03 10:00:00",-0.133333333333333
"121","#HandOfGod","2016-03-03 11:00:00",0
"122","#HandOfGod","2016-03-03 12:00:00",0.0566037735849057
"123","#HandOfGod","2016-03-03 13:00:00",0.133333333333333
"124","#HandOfGod","2016-03-03 14:00:00",0.0909090909090909
"125","#HandOfGod","2016-03-03 15:00:00",-0.321428571428571
"126","#HandOfGod","2016-03-03 16:00:00",-0.0476190476190476
"127","#HandOfGod","2016-03-03 17:00:00",-0.587301587301587
"128","#HandOfGod","2016-03-03 18:00:00",-0.75609756097561
"129","#HandOfGod","2016-03-03 19:00:00",-0.159090909090909
"130","#HandOfGod","2016-03-03 20:00:00",0
"131","#HandOfGod","2016-03-03 21:00:00",-0.444444444444444
"132","#HandOfGod","2016-03-03 22:00:00",-0.693877551020408
"133","#HandOfGod","2016-03-03 23:00:00",-0.546511627906977
"134","#HandOfGod","2016-03-04 00:00:00",-1.02857142857143
"135","#HandOfGod","2016-03-04 01:00:00",-0.880952380952381
"136","#HandOfGod","2016-03-04 02:00:00",-0.648648648648649
"137","#HandOfGod","2016-03-04 03:00:00",-0.52
"138","#HandOfGod","2016-03-04 04:00:00",-0.444444444444444
"139","#HandOfGod","2016-03-04 05:00:00",-0.5
"140","#HandOfGod","2016-03-04 06:00:00",-0.615384615384615
"141","#HandOfGod","2016-03-04 07:00:00",-1.12
"142","#HandOfGod","2016-03-04 08:00:00",-0.761904761904762
"143","#HandOfGod","2016-03-04 09:00:00",-0.863636363636364
"144","#HandOfGod","2016-03-04 10:00:00",-0.267605633802817
"145","#HandOfGod","2016-03-04 11:00:00",-0.810810810810811
"146","#HandOfGod","2016-03-04 12:00:00",-0.535714285714286
"147","#HandOfGod","2016-03-04 13:00:00",-0.470588235294118
"148","#HandOfGod","2016-03-04 14:00:00",-0.230769230769231
"149","#HandOfGod","2016-03-04 15:00:00",-0.241379310344828
"150","#HandOfGod","2016-03-04 16:00:00",-0.0303030303030303
"151","#HandOfGod","2016-03-04 17:00:00",-0.346153846153846
"152","#HandOfGod","2016-03-04 18:00:00",-0.368421052631579
"153","#HandOfGod","2016-03-04 19:00:00",-0.176470588235294
"154","#HandOfGod","2016-03-04 20:00:00",-0.3
"155","#HandOfGod","2016-03-04 21:00:00",-0.872727272727273
"156","#HandOfGod","2016-03-04 22:00:00",-0.567567567567568
"157","#HandOfGod","2016-03-04 23:00:00",-0.9
"158","#HandOfGod","2016-03-05 00:00:00",-0.411764705882353
"159","#HandOfGod","2016-03-05 01:00:00",-0.133333333333333
"160","#HandOfGod","2016-03-05 02:00:00",-0.2
"161","#HandOfGod","2016-03-05 03:00:00",-0.461538461538462
"162","#HandOfGod","2016-03-05 04:00:00",-0.5
"163","#HandOfGod","2016-03-05 05:00:00",-0.545454545454545
"164","#HandOfGod","2016-03-05 06:00:00",0
"165","#HandOfGod","2016-03-05 07:00:00",-0.6
"166","#HandOfGod","2016-03-05 08:00:00",-0.916666666666667
"167","#HandOfGod","2016-03-05 09:00:00",-0.6
"168","#HandOfGod","2016-03-05 10:00:00",-0.526315789473684
"169","#HandOfGod","2016-03-05 11:00:00",0.571428571428571
"170","#HandOfGod","2016-03-05 12:00:00",-0.941176470588235
"171","#HandOfGod","2016-03-05 13:00:00",-0.692307692307692
"172","#HandOfGod","2016-03-05 14:00:00",-1
"173","#HandOfGod","2016-03-05 15:00:00",-0.951219512195122
"174","#HandOfGod","2016-03-05 16:00:00",-0.857142857142857
"175","#HandOfGod","2016-03-05 17:00:00",0.403225806451613
"176","#HandOfGod","2016-03-05 18:00:00",-0.510204081632653
