"source","time","user","text"
"Shares","2016-01-06 12:08:56","uranus_2","Biomechanical Characteristics of Hand Coordination in Grasping Activities of Daily Living https://t.co/vh3gM5Aw0B"
"Shares","2016-03-02 08:25:13","LegalizeBrain","Big pb with @PLOS ONE paper mentionning ""The Creator"" in abstract : https://t.co/DuQ1pdj0U7"
"Shares","2016-03-02 09:48:04","NPRougier","""...is the proper design by the Creator to perform..."" @PLOS Seriously ?
https://t.co/FhfnToHU7Q"
"Shares","2016-03-02 10:03:08","neuronalX","Some references would be nice... ""the mystery of the Creator’s invention"" #creatorsinvention https://t.co/AsCcq77qKK https://t.co/mjxQ5HfCOA"
"Shares","2016-03-02 10:26:51","alexandra_gros","RT @LegalizeBrain: Big pb with @PLOS ONE paper mentionning ""The Creator"" in abstract : https://t.co/DuQ1pdj0U7"
"Shares","2016-03-02 10:38:45","FigueroaThomas_","RT @LegalizeBrain: Big pb with @PLOS ONE paper mentionning ""The Creator"" in abstract : https://t.co/DuQ1pdj0U7"
"Shares","2016-03-02 10:48:58","neuronalX","Some references would be nice... ""the mystery of the Creator’s invention"" #creatorsinvention https://t.co/C97IneKdRu https://t.co/mjxQ5HfCOA"
"Shares","2016-03-02 10:51:28","DanielJIngram","RT @NPRougier: ""...is the proper design by the Creator to perform..."" @PLOS Seriously ?
https://t.co/FhfnToHU7Q"
"Shares","2016-03-02 10:52:29","introspection","RT @LegalizeBrain: Big pb with @PLOS ONE paper mentionning ""The Creator"" in abstract : https://t.co/DuQ1pdj0U7"
"Shares","2016-03-02 10:56:17","Christakou","...aaaaaand Middle Ages: Biomechanical Characteristics of Hand Coordination ""the proper design by the Creator"" https://t.co/JdX7SCY8bE #fail"
"Shares","2016-03-02 11:02:45","cyber_octopus","RT @LegalizeBrain: Big pb with @PLOS ONE paper mentionning ""The Creator"" in abstract : https://t.co/DuQ1pdj0U7"
"Shares","2016-03-02 11:07:13","PSBROOKES","RT @NPRougier: ""...is the proper design by the Creator to perform..."" @PLOS Seriously ?
https://t.co/FhfnToHU7Q"
"Shares","2016-03-02 11:13:17","Erwan_Lecomte","Tranquilou, @PLOSONE publie un papier qui mentionne ""le cr?ateur""
https://t.co/BE18cA9uBa
#WTF https://t.co/FTLe0wzKwZ"
"Shares","2016-03-02 11:22:02","sebbromano","RT @LegalizeBrain: Big pb with @PLOS ONE paper mentionning ""The Creator"" in abstract : https://t.co/DuQ1pdj0U7"
"Shares","2016-03-02 11:28:07","Alexis_Verger","I think that there is a missing citation in this paper - God et al. - via @LegalizeBrain https://t.co/jI1sgLknc5 https://t.co/pnvuTnPL6c"
"Shares","2016-03-02 12:07:13","nemopeeters","RT @Alexis_Verger: I think that there is a missing citation in this paper - God et al. - via @LegalizeBrain https://t.co/jI1sgLknc5 https:/…"
"Shares","2016-03-02 12:12:24","ronan_lehy","RT @LegalizeBrain: Big pb with @PLOS ONE paper mentionning ""The Creator"" in abstract : https://t.co/DuQ1pdj0U7"
"Shares","2016-03-02 12:16:26","schoppik","RT @NPRougier: ""...is the proper design by the Creator to perform..."" @PLOS Seriously ?
https://t.co/FhfnToHU7Q"
"Shares","2016-03-02 13:13:49","BenjPetre","Hey #PLOSONE, is this a joke? Who is 'the Creator' in this article? https://t.co/v7QJuZs8EE #OMG @TheTweetOfGod"
"Shares","2016-03-02 13:20:43","naubinhorth","RT @NPRougier: ""...is the proper design by the Creator to perform..."" @PLOS Seriously ?
https://t.co/FhfnToHU7Q"
"Shares","2016-03-02 13:22:36","DrDawnEagle","RT @Christakou: ...aaaaaand Middle Ages: Biomechanical Characteristics of Hand Coordination ""the proper design by the Creator"" https://t.co…"
"Shares","2016-03-02 13:33:22","flodebarre","RT @NPRougier: ""...is the proper design by the Creator to perform..."" @PLOS Seriously ?
https://t.co/FhfnToHU7Q"
"Shares","2016-03-02 13:36:13","KamounLab","RT @BenjPetre: Hey #PLOSONE, is this a joke? Who is 'the Creator' in this article? https://t.co/v7QJuZs8EE #OMG @TheTweetOfGod"
"Shares","2016-03-02 13:40:55","julienfumey","RT @LegalizeBrain: Big pb with @PLOS ONE paper mentionning ""The Creator"" in abstract : https://t.co/DuQ1pdj0U7"
"Shares","2016-03-02 13:41:11","GeekInQuestion","@RussellGlasser Peer reviewed science effs up. Check abstract/concluding paragraph for wtf https://t.co/3jkggJlQY7 #NonProphetsNews"
"Shares","2016-03-02 13:47:47","nfeau","RT @BenjPetre: Hey #PLOSONE, is this a joke? Who is 'the Creator' in this article? https://t.co/v7QJuZs8EE #OMG @TheTweetOfGod"
