"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Language barrier could MAYBE have been an issue, but then what did they mean? #Creatorgate #Handofgod https://t.co/ZHNORCeaQq",FALSE,0,NA,2016-03-05 07:28:43,FALSE,NA,"706018590080667648",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cleverdarkelve",0,FALSE,FALSE,NA,NA
"2","https://t.co/ZHNORCeaQq #Creatorgate #handofgod",FALSE,0,NA,2016-03-05 07:26:17,FALSE,NA,"706017974801465344",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cleverdarkelve",0,FALSE,FALSE,NA,NA
"3","#creatorgate #handofgod @micheIonfray ne jamais baisser les bras, expliquer toujours!",FALSE,0,NA,2016-03-05 07:12:20,FALSE,NA,"706014466786369536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gpbouvier",0,FALSE,FALSE,NA,NA
"4","RT @SFriedScientist: If you're finding my profile thanks to the #HandofGod tweet, you should probably read @Dr24hours before commenting: ht…",FALSE,0,NA,2016-03-05 06:37:29,FALSE,NA,"706005696710623232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spitshine",2,TRUE,FALSE,NA,NA
"5","RT @SFriedScientist: If you're finding my profile thanks to the #HandofGod tweet, you should probably read @Dr24hours before commenting: ht…",FALSE,0,NA,2016-03-05 06:11:12,FALSE,NA,"705999081005588480",NA,"<a href=""http://www.labnol.org/internet/write-twitter-bot/27902/#free"" rel=""nofollow"">PeerReviewBot</a>","Peer__Reviewer",2,TRUE,FALSE,NA,NA
"6","#Retracted #PLOSONE: Biomechanical Characteristics of Hand Coordination https://t.co/RQ3nxf1AE8 #Creator #designedbyCreator #HandOfGod",FALSE,1,NA,2016-03-05 06:01:37,FALSE,NA,"705996668731133952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ahmadpeik",0,FALSE,FALSE,NA,NA
"7","If you're finding my profile thanks to the #HandofGod tweet, you should probably read @Dr24hours before commenting: https://t.co/xTbahZprQt",FALSE,4,NA,2016-03-05 05:56:55,FALSE,NA,"705995488949047296",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SFriedScientist",2,FALSE,FALSE,NA,NA
"8","RT @StephenBHeard: Whether it's PLOSOne #HandOfGod or anything else, we need to remember this: https://t.co/f9EASUsOBO",FALSE,0,NA,2016-03-05 05:24:25,FALSE,NA,"705987308395233282",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WillSee__",7,TRUE,FALSE,NA,NA
"9","RT @SFriedScientist: People are freaking out about the #HandOfGod as if there weren't millions of publications with equally tenuous introdu…",FALSE,0,NA,2016-03-05 05:21:37,FALSE,NA,"705986602326036480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WillSee__",16,TRUE,FALSE,NA,NA
"10","RT @Lycaonpictus93: Amazing comment on the #HandofGod article in @PLOSONE https://t.co/IVXOsW7nta",FALSE,0,NA,2016-03-05 05:20:42,FALSE,NA,"705986372633374720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WillSee__",16,TRUE,FALSE,NA,NA
"11","RT @SFriedScientist: It took @PLOSONE one day to review and retract #HandofGod paper. It took the Lancet 12 years to retract Wakefield's an…",FALSE,0,NA,2016-03-05 05:19:43,FALSE,NA,"705986123202371584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WillSee__",67,TRUE,FALSE,NA,NA
"12","RT @CT_Bergstrom: #HandOfGod shouldn't have been published as is. But why hasty retraction? If a language issue, why not a correction? http…",FALSE,0,NA,2016-03-05 05:12:25,FALSE,NA,"705984290073366528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WillSee__",3,TRUE,FALSE,NA,NA
"13","RT @iddux: It took @plosone 2 days to retract #handofgod, and people are still upset over ""quality"". 
 #arseniclife to be retracted in...?",FALSE,0,NA,2016-03-05 05:12:11,FALSE,NA,"705984229658615808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WillSee__",27,TRUE,FALSE,NA,NA
"14","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-05 04:49:22,FALSE,NA,"705978487492972544",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AGarciaCattaneo",111,TRUE,FALSE,NA,NA
"15","It is the Editors, proof readers, reviewers who owe an explanation.  #creatorgate #handofgod",FALSE,1,NA,2016-03-05 04:25:58,FALSE,NA,"705972599822614528",NA,"<a href=""https://play.google.com/store/apps/details?id=com.dwdesign.tweetings"" rel=""nofollow"">Tweetings for  Android</a>","nashv",0,FALSE,FALSE,NA,NA
"16","Bullying sees no gender #handofgod #pimphand #stinger #bellaz #ahweak <ed><U+00AE><U+00B8><ed><U+00BC><U+00B0> https://t.co/m3f56Hs6wj",FALSE,0,NA,2016-03-05 04:04:45,FALSE,NA,"705967257390866433",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","theredragon001",0,FALSE,FALSE,NA,NA
"17","Friday night. Drink heavily or write this shitty manuscript? Why not both? Certainly will be better than #handofgod in @PLOSONE",FALSE,0,NA,2016-03-05 03:52:11,FALSE,NA,"705964095804035072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CopeMarsh",0,FALSE,FALSE,NA,NA
"18","RT @SFriedScientist: People are freaking out about the #HandOfGod as if there weren't millions of publications with equally tenuous introdu…",FALSE,0,NA,2016-03-05 03:31:30,FALSE,NA,"705958889699692544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FreudsHedgeHog",16,TRUE,FALSE,NA,NA
"19","Thinking about trying out #Bosch on #AmazonPrime since season two is near. Loved #MadDogs and #handofgod so yays or nays?",FALSE,0,NA,2016-03-05 03:19:57,FALSE,NA,"705955984225665025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lazykcwriter",0,FALSE,FALSE,NA,NA
"20","RT @WyoWeeds: Which is worse:
Publishing ""Creator"" 3 times in otherwise ok article? #HandOfGod
Publishing work that is fundamentally flawed…",FALSE,0,NA,2016-03-05 03:11:16,FALSE,NA,"705953801568591872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","archchirps",2,TRUE,FALSE,NA,NA
