"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LysLoume: Tollé dans la communauté #scientifique après la publication d'un article #créationniste ds #PLOSONE https://t.co/RYiZngXfgZ @…",FALSE,0,NA,2016-03-05 07:09:42,FALSE,NA,"706013805252386817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marwankhr",1,TRUE,FALSE,NA,NA
"2","RT @maberalv: Hand of God paper retracted: @PLOSONE  ""could not stand by the pre-publication assessment"" https://t.co/KYwJhmd4U4 vía @schne…",FALSE,0,NA,2016-03-05 07:06:52,FALSE,NA,"706013092296130560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","schneiderleonid",1,TRUE,FALSE,NA,NA
"3","@PLOSONE hi there whoever is running this twitter feed!! was so nice to randomly see so many of you @ slanted door last month. xoxo",FALSE,0,"PLOSONE",2016-03-05 07:06:45,FALSE,"706007527348006912","706013059286831107","27596259","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ExtremeBaking",0,FALSE,FALSE,NA,NA
"4","RT @Byron_Wan: @schneiderleonid @GaetanBurgio @PLOSONE I hate it when people blame it on language when they r capable of writing whole pape…",FALSE,0,NA,2016-03-05 07:05:51,FALSE,NA,"706012835252477953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","schneiderleonid",2,TRUE,FALSE,NA,NA
"5","#PLOSONE: A Nonlinear Cable Framework for Bidirectional Synaptic Plasticity https://t.co/cvR9sYgu7g",FALSE,1,NA,2016-03-05 06:58:04,FALSE,NA,"706010875145007104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","derek_abbott60",0,FALSE,FALSE,NA,NA
"6","I managed to obtain an exclusive photo of the #PLOSONE editor for #Creatorgate being disciplined https://t.co/RQOVlfWuU1",FALSE,0,NA,2016-03-05 06:51:44,FALSE,NA,"706009282962186240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OmnesResNetwork",0,FALSE,FALSE,NA,NA
"7","Scientific Paper That Says Human Hand Was 'Designed by Creator' Sparks Concern
https://t.co/xcKjwyUd5J via @nature @sciam @PLOSONE",FALSE,0,NA,2016-03-05 06:46:28,FALSE,NA,"706007958585344000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","starchydish",0,FALSE,FALSE,NA,NA
"8","@PLOSONE when I try to go here: https://t.co/uygMrFxpOG Still loving that kawaii paper...",FALSE,0,"ExtremeBaking",2016-03-05 06:34:06,FALSE,"706004678044061697","706004845614858240","400989263","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ExtremeBaking",0,FALSE,FALSE,NA,NA
"9","hi @PLOSONE I see this atm: HTTP Status 500 - Handler processing failed; nested exception is java.lang.OutOfMemoryError: GC overhead limit",FALSE,0,NA,2016-03-05 06:33:26,FALSE,NA,"706004678044061697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ExtremeBaking",0,FALSE,FALSE,NA,NA
"10","RT @humanimmunenews: Comparative Analysis of Protocols to Induce Human CD4+Foxp3+ Tregs @PLoSONE https://t.co/b7VyJfvI43",FALSE,0,NA,2016-03-05 06:19:51,FALSE,NA,"706001256238571520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zalhee",1,TRUE,FALSE,NA,NA
